time,x,y,direction,E5:53:39:5F:31:1A,F8:9D:4B:5D:44:F4,FD:AF:34:29:05:FE,C6:62:EC:2D:90:AB,D6:77:D9:C0:A6:54,FA:C4:4A:07:18:9F,C4:35:CE:FD:FB:DF,CC:7F:D5:E0:41:92,D7:B8:72:01:49:AC,C5:EB:92:59:4D:1A,C2:80:A9:28:D0:79,FC:92:D5:14:99:90
7/9/2024 9:36,42,42,E,-59,-73,-80,,-60,,-54,-51,,,-70,
7/9/2024 9:36,42,42,E,-60,-73,,,,,-52,,-52,-55,-68,
7/9/2024 9:36,42,42,E,-59,-60,,,-61,-59,-51,,-59,,,-78
7/9/2024 9:36,42,42,E,,-59,,-58,-63,,-49,-51,-52,-53,,
7/9/2024 9:36,42,42,E,,,,-76,-54,,-48,-51,-59,-54,-67,
7/9/2024 9:36,42,42,E,-58,,,,-63,-63,-51,,-59,-52,,
7/9/2024 9:36,42,42,E,,,,,,,,,-59,,-61,
7/9/2024 9:36,42,42,E,-64,,,-58,-67,-63,-58,,-60,-57,-59,
7/9/2024 9:36,42,42,E,,,-61,-59,,,-48,,-53,-55,-69,-78
7/9/2024 9:36,42,42,E,-81,,-61,,,,-49,-51,-52,,-64,
7/9/2024 9:36,42,42,E,,,,,-66,-59,,-48,,-52,,-78
7/9/2024 9:36,42,42,E,-66,,-61,-58,,,-52,,-60,-52,-58,-76
7/9/2024 9:36,42,42,E,-59,,,,,,-50,,-52,-55,,-86
7/9/2024 9:36,42,42,E,,-71,,-57,-61,,-48,-51,,,-59,
7/9/2024 9:36,42,42,E,,-58,,,,,-48,-48,-60,-55,-70,-77
7/9/2024 9:36,42,42,E,-61,-58,,-75,,,-55,-48,-53,-58,-67,-73
7/9/2024 9:37,42,42,E,-59,,,-59,,,,,,-52,-59,
7/9/2024 9:37,42,42,E,,,-61,,,-59,,-49,-58,-53,-58,
7/9/2024 9:37,42,42,E,-60,,,-58,,,,,-58,-51,-72,
7/9/2024 9:37,42,42,E,,,,-59,-53,-55,-49,-52,-59,,-67,
7/9/2024 9:37,42,42,E,-60,-58,,,,,-49,-55,,-53,-66,
7/9/2024 9:37,42,42,E,,,-61,-59,,-60,,-51,-59,-55,,-76
7/9/2024 9:37,42,42,E,-71,,-61,,,-56,-50,,-53,-55,-69,
7/9/2024 9:37,42,42,E,-59,,-61,,,,-49,-52,-58,-53,-58,-79
7/9/2024 9:37,42,42,E,-61,-58,-61,,,-59,-52,-52,,-54,-58,-83
7/9/2024 9:37,42,42,E,-60,,,-57,-63,,,-52,-59,-59,-66,
7/9/2024 9:37,42,42,E,,,-62,,-62,-60,,,-53,,-69,-75
7/9/2024 9:37,42,42,E,,-59,-83,-75,,,,,-53,-52,-62,-76
7/9/2024 9:37,42,42,E,,,,-58,-62,,,,-59,-52,-58,
7/9/2024 9:37,42,42,E,-62,,,,,,-56,,-58,-54,-70,-84
7/9/2024 9:37,42,42,E,-60,-59,,,-54,,-55,-57,-53,-52,-69,
7/9/2024 9:37,42,42,E,-60,,-61,,,-59,-50,-48,-58,-55,-69,-75
7/9/2024 9:37,42,42,E,-61,,-62,,-64,,-55,,,-59,-66,
7/9/2024 9:37,42,42,E,,,,-60,-67,-66,,-56,,-51,-59,-83
7/9/2024 9:37,42,42,E,-61,-59,,,,-59,-48,-49,-53,-58,-72,
7/9/2024 9:37,42,42,E,-59,-75,-78,,,-65,,,-52,-70,-61,
7/9/2024 9:37,42,42,E,,,-61,-59,-67,,,-51,-58,,,
7/9/2024 9:37,42,42,E,,,-61,,,-59,-55,,-52,,-57,
7/9/2024 9:39,34,34,S,-57,,-73,-58,,,-56,-61,,-55,-59,-73
7/9/2024 9:39,34,34,S,,,,,,-60,-70,-65,-51,-50,-56,-73
7/9/2024 9:39,34,34,S,-68,,,,,-61,-56,,,,-59,-68
7/9/2024 9:39,34,34,S,-54,,-56,,,-61,-56,-60,-51,-50,-79,-75
7/9/2024 9:39,34,34,S,-68,,,-58,,-61,,,,-53,-59,-74
7/9/2024 9:39,34,34,S,,-58,-68,-58,-71,,,-60,,-53,-64,-75
7/9/2024 9:39,34,34,S,-57,,-66,,-72,,-56,,-61,-54,-55,-68
